player,masters,country,group,picked,r1,r2,r3,r4,total
Scottie Scheffler,1,🇺🇸,1,0,0,0,0,0,0
Rory McIlroy,0,🇬🇧,1,0,0,0,0,0,0
Jon Rahm,1,🇪🇸,1,0,0,0,0,0,0
Brooks Koepka,0,🇺🇸,1,0,0,0,0,0,0
Jordan Spieth,1,🇺🇸,1,0,0,0,0,0,0
Dustin Johnson,1,🇺🇸,1,0,0,0,0,0,0
Viktor Hovland,0,🇳🇴,1,0,0,0,0,0,0
Xander Schauffele,0,🇺🇸,1,0,0,0,0,0,0
Patrick Cantlay,0,🇺🇸,1,0,0,0,0,0,0
Cameron Smith,0,🇦🇺,1,0,0,0,0,0,0
Will Zalatoris,0,🇺🇸,2,0,0,0,0,0,0
Hideki Matsuyama,1,🇯🇵,2,0,0,0,0,0,0
Ludvig Aberg,0,🇸🇪,2,0,0,0,0,0,0
Tony Finau,0,🇺🇸,2,0,0,0,0,0,0
Bryson DeChambeau,0,🇺🇸,2,0,0,0,0,0,0
Collin Morikawa,0,🇺🇸,2,0,0,0,0,0,0
Matt Fitzpatrick,0,🏴󠁧󠁢󠁥󠁮󠁧󠁿,2,0,0,0,0,0,0
Joaquin Niemann,0,🇨🇱,2,0,0,0,0,0,0
Wyndham Clark,0,🇺🇸,2,0,0,0,0,0,0
Brain Harman,0,🇺🇸,2,0,0,0,0,0,0
Justin Thomas,0,🇺🇸,3,0,0,0,0,0,0
Tommy Fleetwood,0,🏴󠁧󠁢󠁥󠁮󠁧󠁿,3,0,0,0,0,0,0
Max Homa,0,🇺🇸,3,0,0,0,0,0,0
Cameron Young,0,🇺🇸,3,0,0,0,0,0,0
Shane Lowry,0,🇮🇪,3,0,0,0,0,0,0
Jason Day,0,🇦🇺,3,0,0,0,0,0,0
Patrick Reed,0,🇺🇸,3,0,0,0,0,0,0
Sahith Theegala,0,🇺🇸,3,0,0,0,0,0,0
Sam Burns,0,🇺🇸,3,0,0,0,0,0,0
Min Woo Lee,0,🇦🇺,3,0,0,0,0,0,0
Sung-Jae Im,0,🇰🇷,3,0,0,0,0,0,0
Tom Kim,0,🇰🇷,3,0,0,0,0,0,0
Tyrrell Hatton,0,🏴󠁧󠁢󠁥󠁮󠁧󠁿,3,0,0,0,0,0,0
Rickie Fowler,0,🇺🇸,3,0,0,0,0,0,0
Justin Rose,0,'🏴󠁧󠁢󠁥󠁮󠁧󠁿',3,0,0,0,0,0,0
Phil Mickelson,3,🇺🇸,3,0,0,0,0,0,0
Tiger Woods,4,🇺🇸,3,0,0,0,0,0,0
Sergio Garcia,1,🇪🇸,3,0,0,0,0,0,0
Adam Scott,0,🇦🇺,3,0,0,0,0,0,0
Corey Conners,0,🇨🇦,3,0,0,0,0,0,0
Si Woo Kim,0,🇰🇷,4,0,0,0,0,0,0
Chris Kirk,0,🇺🇸,4,0,0,0,0,0,0
Nick Taylor,0,🇨🇦,4,0,0,0,0,0,0
J.T. Poston,0,🇺🇸,4,0,0,0,0,0,0
Nick Dunlap,0,🇺🇸,4,0,0,0,0,0,0
Keegan Bradley,0,🇺🇸,4,0,0,0,0,0,0
Jake Knapp,0,🇺🇸,4,0,0,0,0,0,0
Harris English,0,🇺🇸,4,0,0,0,0,0,0
Cameron Davis,0,🇦🇺,4,0,0,0,0,0,0
Thorbjorn Olesen,0,🇩🇰,4,0,0,0,0,0,0
Mattieu Pavon,0,🇫🇷,4,0,0,0,0,0,0
Sepp Straka,0,🇦🇹,4,0,0,0,0,0,0
Eric Cole,0,🇺🇸,4,0,0,0,0,0,0
Russell Henley,0,🇺🇸,4,0,0,0,0,0,0
Gary Woodland,0,🇺🇸,4,0,0,0,0,0,0
Emiliano Grillo,0,🇦🇷,4,0,0,0,0,0,0
Nicolai Holgaard,0,🇩🇰,4,0,0,0,0,0,0
Adam Hadwin,0,🇨🇦,4,0,0,0,0,0,0
Luke List,0,🇺🇸,4,0,0,0,0,0,0
Stephan Jaeger,0,🇩🇪,4,0,0,0,0,0,0
Charl Schwartzel,1,🇿🇦,5,0,0,0,0,0,0
Ryan Fox,0,🇦🇺,5,0,0,0,0,0,0
Kurt Kitayama,0,🇺🇸,5,0,0,0,0,0,0
Adrian Meronk,0,🇵🇱,5,0,0,0,0,0,0
Bubba Watson,2,🇺🇸,5,0,0,0,0,0,0
Danny Willett,0,🏴󠁧󠁢󠁥󠁮󠁧󠁿,5,0,0,0,0,0,0
Grayson Murray,0,🇺🇸,5,0,0,0,0,0,0
Denny McCarthy,0,🇺🇸,5,0,0,0,0,0,0
Ryo Hisatsune,0,🇯🇵,5,0,0,0,0,0,0
Lucas Glover,0,🇺🇸,5,0,0,0,0,0,0
Taylor Moore,0,🇺🇸,5,0,0,0,0,0,0
Peter Malnati,0,🇺🇸,5,0,0,0,0,0,0
Eric van Rooyen,0,🇿🇦,5,0,0,0,0,0,0
Zach Johnson,0,🇺🇸,5,0,0,0,0,0,0
Mike Weir,0,🇨🇦,5,0,0,0,0,0,0
Jose Maria Olazabal,0,🇪🇸,5,0,0,0,0,0,0
Fred Couples,0,🇺🇸,5,0,0,0,0,0,0
Vijay Singh,0,🇫🇯,5,0,0,0,0,0,0
Christo Lamprecht,0,🇿🇦,5,0,0,0,0,0,0
Adam Schenk,0,🇺🇸,5,0,0,0,0,0,0
