golfer,espn_check,pick_count,group_number
Scottie Scheffler,Scottie Scheffler,4,0
Jon Rahm,Jon Rahm,1,1
Rory McIlroy,Rory McIlroy,15,1
Ludvig Åberg,Ludvig Åberg,4,1
Xander Schauffele,Xander Schauffele,7,1
Patrick Cantlay,Patrick Cantlay,0,1
Brooks Koepka,Brooks Koepka,6,1
Collin Morikawa,Collin Morikawa,3,1
Joaquín Niemann,Joaquín Niemann,0,1
Viktor Hovland,Viktor Hovland,0,1
Cameron Smith,Cameron Smith,1,2
Bryson DeChambeau,Bryson DeChambeau,2,2
Max Homa,Max Homa,8,2
Jordan Spieth,Jordan Spieth,0,2
Wyndham Clark,Wyndham Clark,5,2
Will Zalatoris,Will Zalatoris,1,2
Tommy Fleetwood,Tommy Fleetwood,3,2
Hideki Matsuyama,Hideki Matsuyama,0,2
Matt Fitzpatrick,Matt Fitzpatrick,1,2
Dustin Johnson,Dustin Johnson,1,2
Justin Thomas,Justin Thomas,3,3
Shane Lowry,Shane Lowry,1,3
Tyrrell Hatton,Tyrrell Hatton,1,3
Jason Day,Jason Day,4,3
Brian Harman,Brian Harman,2,3
Sahith Theegala,Sahith Theegala,5,3
Min Woo Lee,Min Woo Lee,1,3
Tom Kim,Tom Kim,0,3
Rickie Fowler,Rickie Fowler,1,3
Cameron Young,Cameron Young,4,3
Patrick Reed,Patrick Reed,1,4
Nick Taylor,Nick Taylor,4,4
Russell Henley,Russell Henley,0,4
Sungjae Im,Sungjae Im,5,4
Nicolai Højgaard,Nicolai Højgaard,3,4
Chris Kirk,Chris Kirk,2,4
Corey Conners,Corey Conners,3,4
Justin Rose,Justin Rose,1,4
Sam Burns,Sam Burns,3,4
Sepp Straka,Sepp Straka,7,5
Akshay Bhatia,Akshay Bhatia,3,5
Keegan Bradley,Keegan Bradley,3,5
Talor Gooch,Talor Gooch,1,5
Denny McCarthy,Denny McCarthy,0,5
Si Woo Kim,Si Woo Kim,4,5
Adam Scott,Adam Scott,1,5
Jake Knapp,Jake Knapp,3,5
Eric Cole,Eric Cole,4,6
Tiger Woods,Tiger Woods,3,6
Phil Mickelson,Phil Mickelson,2,6
Adrian Meronk,Adrian Meronk,1,6
Keith Mitchell,Keith Mitchell,2,6
J.T. Poston,J.T. Poston,5,6
Ryan Fox,Ryan Fox,4,6
Christiaan Bezuidenhout,Christiaan Bezuidenhout,1,7
Billy Horschel,Billy Horschel,5,7
Erik van Rooyen,Erik van Rooyen,2,7
Gary Woodland,Gary Woodland,0,7
Taylor Pendrith,Taylor Pendrith,7,7
Mackenzie Hughes,Mackenzie Hughes,4,7
Adam Hadwin,Adam Hadwin,1,7
Kurt Kitayama,Kurt Kitayama,0,7
Matthieu Pavon,Matthieu Pavon,2,7
Byeong Hun An,Byeong Hun An,6,8
Michael Block,Michael Block,0,8
Cam Davis,Cam Davis,4,8
Thomas Detry,Thomas Detry,1,8
Nick Dunlap,Nick Dunlap,0,8
Austin Eckroat,Austin Eckroat,2,8
Harris English,Harris English,3,8
Tom Hoge,Tom Hoge,3,8
Luke List,Luke List,3,8
Dean Burmester,Dean Burmester,1,9
Aaron Rai,Aaron Rai,2,9
Adam Schenk,Adam Schenk,6,9
Maverick McNealy,Maverick McNealy,1,9
Alex Noren,Alex Noren,5,9
Thorbjørn Olesen,Thorbjørn Olesen,2,9
Victor Perez,Victor Perez,0,9
Robert MacIntyre,Robert MacIntyre,3,9
Adam Svensson,Adam Svensson,2,9
Patrick Rodgers,Patrick Rodgers,0,9
John Daly,John Daly,1,10
Luke Donald,Luke Donald,3,10
Padraig Harrington,Padraig Harrington,5,10
Camilo Villegas,Camilo Villegas,3,10
Jimmy Walker,Jimmy Walker,0,10
Y.E. Yang,Y.E. Yang,2,10
Brendon Todd,Brendon Todd,5,10
Francesco Molinari,Francesco Molinari,1,10
Rich Beem,Rich Beem,0,10
