golfer,espn_check,pick_count,group_number
Brooks Koepka,Brooks Koepka,4,1
Bryson DeChambeau,Bryson DeChambeau,8,1
Cameron Smith,Cameron Smith,3,1
Collin Morikawa,Collin Morikawa,16,1
Hideki Matsuyama,Hideki Matsuyama,2,1
Ludvig Åberg,Ludvig Åberg,5,1
Max Homa,Max Homa,1,1
Patrick Cantlay,Patrick Cantlay,0,1
Rory McIlroy,Rory McIlroy,8,1
Scottie Scheffler,Scottie Scheffler,19,1
Tommy Fleetwood,Tommy Fleetwood,2,1
Viktor Hovland,Viktor Hovland,6,1
Wyndham Clark,Wyndham Clark,2,1
Xander Schauffele,Xander Schauffele,12,1
Brian Harman,Brian Harman,1,2
Dustin Johnson,Dustin Johnson,1,2
Jordan Spieth,Jordan Spieth,1,2
Justin Rose,Justin Rose,1,2
Justin Thomas,Justin Thomas,4,2
Matt Fitzpatrick,Matt Fitzpatrick,5,2
Min Woo Lee,Min Woo Lee,1,2
Nick Taylor,Nick Taylor,0,2
Robert MacIntyre,Robert MacIntyre,4,2
Sahith Theegala,Sahith Theegala,7,2
Sam Burns,Sam Burns,2,2
Shane Lowry,Shane Lowry,4,2
Tom Kim,Tom Kim,5,2
Tony Finau,Tony Finau,6,2
Will Zalatoris,Will Zalatoris,2,2
Akshay Bhatia,Akshay Bhatia,0,3
Austin Eckroat,Austin Eckroat,0,3
Cameron Young,Cameron Young,1,3
Chris Kirk,Chris Kirk,0,3
Corey Conners,Corey Conners,6,3
Jason Day,Jason Day,2,3
Keegan Bradley,Keegan Bradley,1,3
Mackenzie Hughes,Mackenzie Hughes,1,3
Nicolai Højgaard,Nicolai Højgaard,1,3
Rickie Fowler,Rickie Fowler,1,3
Russell Henley,Russell Henley,3,3
Sepp Straka,Sepp Straka,2,3
Sungjae Im,Sungjae Im,3,3
Thomas Detry,Thomas Detry,0,3
Tyrrell Hatton,Tyrrell Hatton,1,3
Adam Hadwin,Adam Hadwin,7,4
Billy Horschel,Billy Horschel,0,4
Erik van Rooyen,Erik van Rooyen,0,4
Harris English,Harris English,0,4
Jake Knapp,Jake Knapp,0,4
Martin Kaymer,Martin Kaymer,0,4
Matthieu Pavon,Matthieu Pavon,2,4
Peter Malnati,Peter Malnati,1,4
Ryan Fox,Ryan Fox,1,4
Si Woo Kim,Si Woo Kim,6,4
Stephan Jaeger,Stephan Jaeger,0,4
Taylor Moore,Taylor Moore,0,4
Taylor Pendrith,Taylor Pendrith,0,4
Tom Hoge,Tom Hoge,1,4
Victor Perez,Victor Perez,4,4
Adam Schenk,Adam Schenk,1,5
Alex Noren,Alex Noren,4,5
Christiaan Bezuidenhout,Christiaan Bezuidenhout,6,5
Emiliano Grillo,Emiliano Grillo,0,5
Eric Cole,Eric Cole,0,5
Gary Woodland,Gary Woodland,2,5
Gordon Sargent (a),Gordon Sargent (a),0,5
Hiroshi Tai (a),Hiroshi Tai (a),0,5
J.T. Poston,J.T. Poston,3,5
Kurt Kitayama,Kurt Kitayama,1,5
Nick Dunlap,Nick Dunlap,2,5
Phil Mickelson,Phil Mickelson,2,5
Tiger Woods,Tiger Woods,1,5
Aaron Rai,Aaron Rai,3,6
Adam Svensson,Adam Svensson,3,6
Beau Hossler,Beau Hossler,0,6
Cam Davis,Cam Davis,3,6
Daniel Berger,Daniel Berger,1,6
David Puig,David Puig,1,6
Dean Burmester,Dean Burmester,4,6
Edoardo Molinari,Edoardo Molinari,0,6
Francesco Molinari,Francesco Molinari,1,6
Harry Higgs,Harry Higgs,3,6
Matt Kuchar,Matt Kuchar,2,6
Matteo Manassero,Matteo Manassero,0,6
Robert Rock,Robert Rock,0,6
Ryo Ishikawa,Ryo Ishikawa,1,6
Séamus Power,Séamus Power,0,6
